நான் உன்னை காதலிக்கிறேன்.	I love you.
எப்போ கிளம்பலாம்?	When should we leave?
எப்போ கிளம்பலாம்?	When do you want to leave?
அப்போது அவனுக்கு மூன்று வயது.	He was three years old then.
வெளியே போ! திரும்பி வராதே!	Get out! Don't come back!
நான் உங்களுக்கு என்ன செய்யணும்?	How can I help you?
அதை எடு.	Pick it up.
அதை எடுத்து வீசு.	Pick it up and throw it.
நீங்கள் அதை உதைத்தால் அது உங்களை கடிக்கும்.	If you kick it, it will bite you.
அங்கே மட்டும் போகாதே.	Just don't go there.
உங்களை சந்தித்ததில் சந்தோஷம்.	It was nice meeting you.
எலியைக் கொல்லாதே!	Don't kill the mouse!
பூனை மறைகிறது.	The cat is hiding.
இங்கே வராதே! ஓடு!	Don't come here! Run!
மெதுவாக சாப்பிடுங்கள்	Eat slowly.
குதிரை வேகமாக ஓடுகிறது.	The horse is running fast.
நாம் எப்போது கடைக்கு செல்லலாம்?	When can we go to the store?
நாம் எப்போது கடைக்கு செல்லலாம்?	When should we go to the store?
ரொம்ப நேரம் விளையாடாதே.	Don't play for too long.
உண்மையிலேயே நான் அதை மிகவும் விரும்புகிறேன்.	I really do like it a lot.
இருபது தக்காளிக்கு எவ்வளவு?	How much do twenty tomatoes cost?
இருபது தக்காளிக்கு எவ்வளவு?	How much for twenty tomatoes?
வீட்டிற்கு வா.	Come home.
நீ ஏன் போனாய்?	Why did you leave?
நீ ஏன் போனாய்?	Why did you go?
எனக்கு சிவப்பு பிடிக்கும்.	I like red.
எனக்கு ஆரஞ்சு பிடிக்கும்.	I like orange.
எனக்கு மஞ்சள் பிடிக்கும்.	I like yellow.
எனக்கு பச்சை பிடிக்கும்.	I like green.
எனக்கு நீலம் பிடிக்கும்.	I like blue.
எனக்கு ஊதா பிடிக்கும்.	I like purple.
உனக்கு என்ன வண்ணம் பிடிக்கும்?	What color do you like?
உனக்கு என்ன நிறம் பிடிக்கும்?	What color do you like?
சாமிக்கு ஒரு உள்ளுணர்வு இருந்தது.	Sami had an intuition.
அவள் குழந்தையை முத்தமிட்டாள்.	She kissed her baby.
தீ! ஓடு!	Fire! Run!
தீ! ஓடுங்கள்!	Fire! Run!
இந்த சூழ்நிலையில் நான் என்ன செய்ய வேண்டும் என்று நீங்கள் நினைக்கிறீர்கள் என்று சொல்லுங்கள்.	Tell me what you think I should do in this situation.
இந்த சூழ்நிலையில் நான் என்ன செய்ய வேண்டும் என்று நீ நினைக்கிறாய் என்று சொல்.	Tell me what you think I should do in this situation.
இன்னும் கொஞ்சம் பெரியதைக் காட்டு.	Show me something a little larger.
இன்னும் கொஞ்சம் பெரியதைக் காட்டுங்கள்.	Show me something a little larger.
இன்று இரவு மழை பெய்யும் என்று நினைக்கிறேன்.	I think it'll rain tonight.
நான் அவளிடம் இதை பற்றி சொல்லலாமா?	Can I tell her about this?
டாமின் நகைச்சுவைகளுக்கு யாரும் சிரிக்கவில்லை.	Nobody laughed at any of Tom's jokes.
என்னை நம்பு என்று சொன்னாள்.	"She said: ""Trust me""."
எனக்கு ஒரு அக்கா இல்லை, எனக்கு இரண்டு அக்காக்கள் இருக்கிறார்கள்.	I don't have one sister, I've got two.
எனக்கு ஒரு தங்கை இல்லை, எனக்கு இரண்டு தங்கைகள் இருக்கிறார்கள்.	I don't have one sister, I've got two.
இதை உன் பையில் வை.	Put this into your bag.
இதை உங்கள் பையில் வையுங்கள்.	Put this into your bag.
வாழ்த்துக்கள்	Congratulations!
தப்பு.	Wrong.
சத்தமாக.	Louder.
இன்னும் சத்தமாக.	Louder.
கண்டிப்பா!	Definitely!
கிட்டத்தட்ட.	Almost.
என்ன?	What?
ஏன்?	Why?
எதுக்கு?	Why?
மன்னிக்கவும்...	Sorry...
நம்ப முடியவில்லை!	Unbelievable!
நிச்சயமா.	Certainly.
கண்டிப்பா.	Certainly.
குனி!	Duck!
படி!	Study!
சாவு!	Die!
செத்து போ!	Die!
அப்படியா?	Really?
வணக்கம்!	Hello!
சிறப்பு!	Fantastic!
சிறப்பு!	Awesome!
போதும்!	Enough!
நிறுத்து!	Stop!
நன்றி!	Thanks!
பசிக்கிறதா?	Hungry?
இல்லை.	No.
ஆம்.	Yes.
ஆம்மாம்.	Yes.
ஆம்மா.	Yes.
என்னவோ!	Whatever!
உங்களை வரவேற்கிறோம்.	Welcome.
மயிர்!	Bastard!
மயிர்.	Faggot.
சே.	Shit.
வணக்கம்.	Hi.
வணக்கம்.	Hey.
குதி.	Jump.
சே!	Darn!
முட்டாள்!	Idiot!
முட்டாள்!	Fool!
லூசு!	Idiot!
லூசு!	Fool!
வறு.	Fry.
வறுத்து எடு.	Fry.
செம்ம!	Incredible!
ஆம்.	Yep.
வா!	Come!
ஓடு!	Run!
அதுக்கு?	So?
ஜாக்கிரதை!	Careful!
குதி!	Jump!
முட்டாள்!	Dumbass!
வாழ்க!	Hail!
ஒடுங்க!	Scram!
வணக்கம்!	Greetings!
நல்லது.	Good.
போ!	Go!
படி!	Read!
இல்லை?	No?
சரி!	Fine!
வேகமாக!	Hurry!
சரி!	Right!
போய் விடு!	Leave!
கேளு!	Listen!
நிஜமாவா?	Seriously?
அப்படியா?	Seriously?
சே!	Disgusting!
ஆரம்பி!	Begin!
பேசு!	Speak!
பார்!	Look!
தீ!	Fire!
வேகமாக!	Quick!
கேளுங்கள்.	Listen.
கேளு.	Listen.
யார்?	Who?
எவர்?	Who?
எவன்?	Who?
அங்கேயே நில்லு!	Freeze!
அமைதி!	Silence!
உனக்கு பாடல்கள் பிடிக்குமா?	Do you like songs?
சே!	Darn it!
போயிடு!	Get lost!
போய் விடு!	Get lost!
சரி சரி!	Ah, okay!
முத்தம் தா.	Kiss me.
முத்தம் கொடு.	Kiss me.
மன்னிச்சிடு.	I apologize.
மன்னிச்சிடுங்க.	I apologize.
மன்னிக்கவும்.	I apologize.
செம்ம!	Really good!
ரொம்ப ஒன்னும் இல்ல.	Nothing special.
பரவா இல்ல.	No prob.
பரவா இல்ல.	No problem.
கிட்டத்தட்ட மூன்று.	Almost three.
கிட்டத்தட்ட மூன்னு.	Almost three.
வேகமா வா.	Come quickly.
வேகமா வாங்க.	Come quickly.
வேகமாக வாருங்கள்.	Come quickly.
வேகமாக வா.	Come quickly.
கிட்டத்தட்ட மூன்னு.	Nearly three.
கிட்டத்தட்ட மூன்று.	Nearly three.
பரவா இல்ல!	No worries!
கருணை காட்டுங்க!	Have mercy!
கருணை காட்டுங்கள்!	Have mercy!
பிழை	Wrong.
சத்தமாக	Louder.
மெதுவாக	Quieter!
நிச்சயமாக	Definitely!
ஓரளவு	Almost.
ஏன்	Why?
மது அருந்தும் வயதல்ல உங்களது	You're not old enough to drink.
டாம் உங்களை விட இளையவராக தெரிகிறார்.	Tom looks much younger than you.
அவளின் பார்வையில் அவன் வெறுப்பையும் அலட்சியத்தையும் கண்டான்.	He met her gaze and sensed hatred and contempt.
நீங்களா டொமிடம் அதை செய்ய வேண்டாம் என சொன்னது.	Were you the one who told Tom not to do that?
தோமும் மேரி யும் சென்றது எனக்கு மகிழச்சியே	I'm glad Tom and Mary have gone.
அவன் வழி காட்டுகிறான்	He is showing the way.
அவள் வழி காட்டுகிறாள்	She is showing the way.
நீ வழி காட்டிக் கொண்டு இருக்கிறாய்	You have been showing the way.
நான் ஒரு வழி காட்டிக் கொண்டு இருக்கிறேன்	I have been showing a way.
நான் வழி காட்டிக் கொண்டு இருக்க வில்லை	I have not been showing the way.
இருள்சேர் இருவினையும் சேரா இறைவன் பொருள்சேர் புகழ்புரிந்தார் மாட்டு	Fate, which impacts those in the darkness of ignorance, will not impede those who hail the true glory of God.
அகர முதல எழுத்தெல்லாம் ஆதி பகவன் முதற்றே உலகு.	A is the first of the alphabet; God is the primary force of the world.
நீங்கள் செய்திகளைப் பார்க்கிறீர்களா?	Do you watch the news?
இது உங்க கிட்ட சின்ன அளவுல இருக்கா?	Do you have this in a smaller size?
அவன் கிட்ட பணம் இல்லாததால அவனால சாப்பாடு வாங்க முடியல.	He had no money and so could not buy any food.
டாம் அங்க சாண்ட்விச் சாப்பிடறத நான் பாத்தேன்.	I saw Tom eating a sandwich over there.
உனக்கு இது பிடிக்கலேன்னா நான் நிறுத்திடறேன்.	If you don't like that, I'll stop.
டாம் தனிக்கட்டயில்ல, ஆனா மேரி தனிக்கட்ட.	Tom isn't single, but Mary is.
வகுப்புல டாம் மட்டும் தான் பையன்.	Tom is the only boy in our class.
அல்ஜீரியாவோட இந்த பகுதியில் மக்களக்கு வெளியாட்கள பாத்து பழக்கம் இல்ல.	In this part of Algeria, people are not used to seeing foreigners.
நாங்க இத பண்ணினா உனக்கு பிடிக்காது, இல்லையா?	You wouldn't like it if we did that, would you?
டாம் தன்னோட வகுப்புல மத்த பசங்கள விட கொஞ்சம் மூத்தவன்.	Tom is a little older than the rest of the students in his class.
நீ போற நகரம் ரொம்ப தூரத்துல இருக்கு.	The city you're going to is very far away.
இன்னிக்கு நம்மகிட்ட நிறைய சாப்பாடு இருக்கு.	Today we have a lot of food.
ரேடியோ ஆன் பண்ணுங்களேன்.	Put the radio on, please.
டாம் ஒத்துக்கற மாதிரி தெரியல.	Tom doesn't appear to agree.
